D,CODE,T,Offense Description,NC General Statute,Offense Start Date,Offense End Date,CL,Class Start Date,Class End Date,DWI and IC Report,Max Date,(0) Offense Ongoing | (1) Offense Ended | (2) Free Text | (3) No Info Provided,
 ,1124,F,SECOND DEGREE SEXUAL OFFENSE,14-27.5(A),00000000,20151130,C,19941001,20151130,No,20151130,1,
*,1125,F,ATTEMPT 1ST DEGREE RAPE,14-27.6,00000000,19950817,Blank, , ,No,19950817,1,
*,1126,F,ATTEMPT 1ST DEGREE SEX OFFENSE,14-27.6,00000000,19950817,Blank, , ,No,19950817,1,
 ,1127,F,ATMPT 1ST DEGREE FORCIBLE RAPE,14-27.21,20151201,99999999,B2,20151201,99999999,No,20151201,0,
*,1128,F,ATTEMPT SECOND DEGREE RAPE,14-27.6,00000000,19950817,Blank, , ,No,19950817,1,
 ,1129,F,ATMPT 1ST DEGREE FORCE SEX OFF,14-27.26,20151201,99999999,B2,20151201,99999999,No,20151201,0,
*,1130,F,ATTEMPT 2ND DEGREE SEX OFFENSE,14-27.6,00000000,19950817,Blank, , ,No,19950817,1,
 ,1131,F,FIRST DEGREE FORCE SEX OFFENSE,14-27.26,20151201,99999999,B1,20151201,99999999,No,20151201,0,
 ,1132,F,FIRST DEGREE SEXUAL OFFENSE,14-27.4(A),00000000,20151130,B1,19941001,20151130,No,20151130,1,
 ,1133,F,SEX ACT: SUB PARENT/CUSTODIAN,14-27.31(A),20151201,99999999,E,20151201,99999999,No,20151201,0,
 ,1134,F,SEX OFFENSE - PARENTAL ROLE,14-27.7(A),00000000,20151130,E,19941001,20151130,No,20151130,1,
 ,1135,F,SEX ACT-GOV/PRIV INST EMPLOYEE,14-27.31(B),20151201,99999999,E,20151201,99999999,No,20151201,0,
 ,1136,F,SEX OFFENSE INSTITUTION,14-27.7(A),00000000,20151130,E,19941001,20151130,No,20151130,1,
 ,1137,F,STAT RAPE/SEX OFFN DEF >=6YR,14-27.7A(A),19951201,20151130,B1,19951201,20151130,No,20151130,1,
*,1138,F,STATUTORY SEXUAL OFFENSE,14-27.4,00000000,19940606,B1, , ,No,19940606,1,
 ,1139,F,STAT RAPE/SEX OFFN DEF>4-<6YR,14-27.7A(B),19951201,20151130,C,19951201,20151130,No,20151130,1,
 ,1140,F,ATT SEX OFFENSE-PARENTAL ROLE,14-27.7(A),00000000,20151130,F,19941001,20151130,No,20151130,1,
 ,1141,F,SEX OFFENSE STUDENT (F),14-27.7(B),19991201,20151130,G,19991201,20151130,No,20151130,1,
 ,1142,F,ATTEMPT 1ST DEGREE RAPE,14-27.2,19941001,20151130,B2,19941001,20151130,No,20151130,1,
 ,1143,F,ATTEMPT SEX OFFENSE STUDNT (F),14-27.7(B),19991201,20151130,H,19991201,20151130,No,20151130,1,
 ,1144,F,ATTEMPT 1ST DEGREE SEX OFFENSE,14-27.4,19941001,20151130,B2,19941001,20151130,No,20151130,1,
 ,1145,M,SEX OFFENSE STUDENT (M),14-27.7(B),19991201,20151130,A1,19991201,20151130,No,20151130,1,
 ,1146,F,ATTEMPT SECOND DEGREE RAPE,14-27.3,19941001,20151130,D,19941001,20151130,No,20151130,1,
 ,1147,F,ATT SEX ACT-SUB PAR/CUSTODIAN,14-27.31(A),20151201,99999999,F,20151201,99999999,No,20151201,0,
 ,1148,F,ATTEMPT 2ND DEGREE SEX OFFENSE,14-27.5,19941001,20151130,D,19941001,20151130,No,20151130,1,
 ,1149,M,SEXUAL BATTERY,14-27.5A(A),20031201,20151130,A1,20031201,20151130,No,20151130,1,
 ,1150,F,HUMAN TRAFFICKING ADULT VICTIM,14-43.11(A),20061201,99999999,F,20061201,20171130,No,20171130,1,
 ,1150,F,HUMAN TRAFFICKING ADULT VICTIM,14-43.11(A),20061201,99999999,C,20171201,99999999,No,20171201,0,
 ,1151,F,HUMAN TRAFFICKING CHILD VICTIM,14-43.11(A),20061201,99999999,C,20061201,20171130,No,20171130,1,
 ,1151,F,HUMAN TRAFFICKING CHILD VICTIM,14-43.11(A),20061201,99999999,B2,20171201,99999999,No,20171201,0,
 ,1152,F,INVOL SERVITUDE ADULT VICTIM,14-43.12(A),20061201,99999999,F,20061201,99999999,No,20061201,0,
 ,1153,F,INVOL SERVITUDE CHILD VICTIM,14-43.12(A),20061201,99999999,C,20061201,99999999,No,20061201,0,
 ,1154,F,SEXUAL SERVITUDE ADULT VICTIM,14-43.13(A),20061201,99999999,F,20061201,20130930,No,20130930,1,
 ,1154,F,SEXUAL SERVITUDE ADULT VICTIM,14-43.13(A),20061201,99999999,D,20131001,99999999,No,20131001,0,
 ,1155,F,SEXUAL SERVITUDE CHILD VICTIM,14-43.13(A),20061201,99999999,C,20061201,99999999,No,20061201,0,
 ,1156,F,SEXUAL ACTIVITY WITH A STUDENT,14-27.32(B),20151201,99999999,I,20151201,20231130,No,20231130,1,
 ,1156,F,SEXUAL ACTIVITY WITH A STUDENT,14-27.32(B),20151201,99999999,G,20231201,99999999,No,20231201,0,
 ,1157,F,ATMPT 2ND DEGREE FORCIBLE RAPE,14-27.22,20151201,99999999,D,20151201,99999999,No,20151201,0,
 ,1158,F,ATMPT 2ND DEGREE FORCE SEX OFF,14-27.27,20151201,99999999,D,20151201,99999999,No,20151201,0,
 ,1159,M,SEXUAL BATTERY,14-27.33,20151201,99999999,A1,20151201,99999999,No,20151201,0,
*,1160,M,FAIL REGISTER SEX OFFENDER(M),14-208.11,19960101,19980331,3,19960101,99999999,No,19980331,1,
